Patient ID,Gender,Age Range,Response
5031,Male,18 - 25,6
4618,Female,18 - 25,4
9074,Male,18 - 25,2
2742,Male,18 - 25,4
4004,Male,18 - 25,5
3742,Male,18 - 25,3
2709,Female,18 - 25,6
3816,Male,18 - 25,6
7148,Male,18 - 25,8
8430,Male,18 - 25,5
519,Male,18 - 25,8
3968,Female,18 - 25,2
9684,Female,18 - 25,6
9798,Female,18 - 25,8
956,Male,18 - 25,9
9402,Male,18 - 25,4
7403,Male,18 - 25,5
9448,Female,18 - 25,5
5882,Female,18 - 25,5
3533,Female,18 - 25,6
6701,Female,25 - 35,5
7667,Female,25 - 35,5
823,Female,25 - 35,5
3397,Female,25 - 35,6
1391,Male,25 - 35,5
6867,Female,25 - 35,6
438,Female,25 - 35,2
3704,Male,25 - 35,7
3977,Female,25 - 35,4
3597,Female,25 - 35,4
7931,Male,25 - 35,3
4423,Female,25 - 35,7
1668,Female,25 - 35,5
1506,Female,25 - 35,6
3775,Male,25 - 35,6
4840,Male,25 - 35,5
1663,Male,25 - 35,3
8955,Female,25 - 35,4
6627,Male,25 - 35,4
4186,Male,25 - 35,6
1832,Male,35 - 45,6
4306,Female,35 - 45,8
7872,Male,35 - 45,9
4738,Female,35 - 45,8
9841,Female,35 - 45,4
2476,Male,35 - 45,7
9859,Male,35 - 45,9
5309,Male,35 - 45,8
3182,Female,35 - 45,10
2656,Male,35 - 45,5
5504,Female,35 - 45,5
8655,Female,35 - 45,6
5569,Female,35 - 45,5
3867,Female,35 - 45,9
6606,Male,35 - 45,4
5739,Female,35 - 45,8
117,Male,35 - 45,5
1500,Female,35 - 45,9
8133,Female,35 - 45,5
4758,Male,35 - 45,5
6470,Male,45+,8
4183,Female,45+,7
8156,Female,45+,4
3801,Female,45+,11
5348,Female,45+,8
2317,Male,45+,9
9278,Male,45+,5
3931,Female,45+,9
9416,Female,45+,9
2053,Female,45+,4
4543,Female,45+,7
4935,Female,45+,9
4004,Male,45+,5
8786,Female,45+,8
2472,Male,45+,6
3994,Male,45+,8
1789,Female,45+,12
5601,Female,45+,3
6734,Male,45+,8
1618,Male,45+,8
